"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2019","2.9475","2.9800","2.9835","2.9420","","-0.59%"
"09/01/2019","2.9650","2.9500","2.9885","2.9475","","1.02%"
"08/01/2019","2.9350","2.9675","2.9700","2.8700","","-0.51%"
"07/01/2019","2.9500","2.8400","2.9800","2.7940","","3.87%"
"06/01/2019","2.8400","2.7830","2.8701","2.7150","","2.60%"
"05/01/2019","2.7680","2.7050","2.8050","2.7025","","2.71%"
"04/01/2019","2.6950","2.6900","2.7075","2.6830","","0.56%"
"03/01/2019","2.6800","2.6800","2.6985","2.6560","","0.56%"
"02/01/2019","2.6650","2.6550","2.6950","2.6325","","0.76%"
"01/01/2019","2.6450","2.6750","2.6800","2.6465","","-1.31%"
"12/01/2018","2.6800","2.6900","2.6900","2.6525","","0.37%"
"11/01/2018","2.6700","2.7050","2.7600","2.6500","","-0.56%"
"10/01/2018","2.6850","2.6120","2.7150","2.6075","","3.39%"
"09/01/2018","2.5970","2.5720","2.6250","2.5720","","1.56%"
"08/01/2018","2.5570","2.4500","2.6400","2.4440","","4.80%"
"07/01/2018","2.4400","2.4480","2.4602","2.4350","","0.08%"
"06/01/2018","2.4380","2.4770","2.4850","2.4390","","-0.97%"
"05/01/2018","2.4620","2.4500","2.4950","2.4275","","0.49%"
"04/01/2018","2.4500","2.4050","2.5000","2.3840","","2.17%"
"03/01/2018","2.3980","2.4680","2.4715","2.4080","","-2.44%"
"02/01/2018","2.4580","2.4950","2.4950","2.4300","","-1.09%"
"01/01/2018","2.4850","2.5922","2.5936","2.4578","","-4.13%"
"12/01/2017","2.5920","2.7080","2.7122","2.5100","","-3.86%"
"11/01/2017","2.6960","2.6100","2.7284","2.5898","","3.30%"
"10/01/2017","2.6100","2.4775","2.6200","2.4635","","6.10%"
"09/01/2017","2.4600","2.4450","2.4975","2.4230","","1.34%"
"08/01/2017","2.4275","2.4040","2.4453","2.3820","","1.57%"
"07/01/2017","2.3900","2.4020","2.4120","2.3850","","-0.25%"
"06/01/2017","2.3960","2.4100","2.4388","2.3950","","-0.17%"
"05/01/2017","2.4000","2.4475","2.4508","2.3950","","-1.23%"
"04/01/2017","2.4300","2.4075","2.4850","2.3575","","0.83%"
"03/01/2017","2.4100","2.5275","2.5400","2.4075","","-4.74%"
"02/01/2017","2.5300","2.6950","2.7090","2.5275","","-5.60%"
"01/01/2017","2.6800","2.6643","2.7725","2.6375","","1.25%"
"12/01/2016","2.6468","2.5550","2.8152","2.5343","","3.59%"
"11/01/2016","2.5550","2.3950","2.5550","2.3920","","6.68%"
"10/01/2016","2.3950","2.3370","2.4125","2.3190","","1.91%"
"09/01/2016","2.3500","2.2950","2.3679","2.2829","","2.40%"
"08/01/2016","2.2950","2.3593","2.3633","2.2522","","-2.01%"
"07/01/2016","2.3420","2.3300","2.3634","2.2935","","0.52%"
"06/01/2016","2.3300","2.1380","2.3700","2.1100","","9.49%"
"05/01/2016","2.1280","2.2315","2.2320","2.1300","","-4.64%"
"04/01/2016","2.2315","2.2950","2.3000","2.2200","","-2.77%"
"03/01/2016","2.2950","2.4600","2.4722","2.2575","","-6.13%"
"02/01/2016","2.4450","2.4675","2.5001","2.4540","","-0.20%"
"01/01/2016","2.4500","2.4000","2.5050","2.3520","","2.73%"
